,id,title,type,age_certification,runtime,release_year,seasons,imdb_score,imdb_votes
12313,tm58432,Dragon Age: Dawn of the Seeker,MOVIE,,90,2012,0.0,5.8,2920.0
12340,tm43987,Fairy Tail: Phoenix Priestess,MOVIE,PG-13,86,2012,0.0,7.1,2081.0
12364,tm60522,The Perfect Wedding,MOVIE,,82,2012,0.0,6.3,864.0
12374,tm61614,Holly's Holiday,MOVIE,,90,2012,0.0,5.4,1189.0
12376,tm56747,Last Days Here,MOVIE,,91,2011,0.0,7.5,1912.0
12388,tm170735,Labios Rojos,MOVIE,R,93,2011,0.0,5.1,384.0
12504,tm166586,Prisoners,MOVIE,R,153,2013,0.0,8.1,679548.0
12605,tm143360,The Raid 2,MOVIE,R,150,2014,0.0,7.9,121534.0
12643,tm166553,Despicable Me 2,MOVIE,PG,98,2013,0.0,7.3,391448.0
12715,tm148836,Oculus,MOVIE,R,104,2013,0.0,6.5,126675.0
12733,tm181889,Before Midnight,MOVIE,R,109,2013,0.0,7.9,153949.0
12840,tm170004,Austenland,MOVIE,PG-13,97,2013,0.0,6.2,20727.0
12888,tm155068,Transcendence,MOVIE,PG-13,119,2014,0.0,6.2,226018.0
12924,tm149150,Still Alice,MOVIE,PG-13,99,2014,0.0,7.5,133222.0
12939,tm145683,Spring,MOVIE,,109,2014,0.0,6.7,27638.0
12975,tm180320,Drinking Buddies,MOVIE,R,95,2013,0.0,6.1,58224.0
13062,tm154072,The Judge,MOVIE,R,141,2014,0.0,7.4,188437.0
13140,tm178257,Phantom,MOVIE,R,99,2013,0.0,5.9,14275.0
13177,tm187396,A Field in England,MOVIE,,90,2013,0.0,6.2,12580.0
13212,ts20804,Witches of East End,SHOW,TV-MA,42,2013,2.0,7.6,25793.0
13220,tm186938,Somm,MOVIE,,93,2013,0.0,7.0,4712.0
13237,tm185938,How I Live Now,MOVIE,R,101,2013,0.0,6.4,30034.0
13278,tm156070,The Two Faces of January,MOVIE,PG-13,96,2014,0.0,6.2,31386.0
13308,tm155146,The Congress,MOVIE,,122,2013,0.0,6.4,18588.0
13355,tm181420,Beautiful Creatures,MOVIE,PG-13,124,2013,0.0,6.1,87271.0
13403,tm143376,Suburban Gothic,MOVIE,R,90,2014,0.0,5.6,4684.0
13431,tm146683,Earth to Echo,MOVIE,PG,89,2014,0.0,5.7,18988.0
13460,tm137737,The Angriest Man in Brooklyn,MOVIE,R,84,2014,0.0,5.7,22274.0
13489,tm143572,White Bird in a Blizzard,MOVIE,R,91,2014,0.0,6.4,28260.0
13533,ts18865,Danganronpa: The Animation,SHOW,TV-14,24,2013,2.0,6.8,2432.0
13539,ts20686,Terror in Resonance,SHOW,TV-14,21,2014,1.0,7.9,10188.0
13609,tm147533,The Rewrite,MOVIE,PG-13,107,2014,0.0,6.3,20156.0
13658,tm136719,Serena,MOVIE,R,102,2014,0.0,5.4,28642.0
13687,tm175844,Cheap Thrills,MOVIE,,88,2013,0.0,6.7,18979.0
13707,tm144215,"20,000 Days on Earth",MOVIE,,97,2014,0.0,7.4,11395.0
13720,ts35492,Nisekoi,SHOW,TV-14,24,2014,2.0,7.4,3307.0
13750,tm158087,A Long Way Down,MOVIE,R,96,2014,0.0,6.3,33172.0
13783,tm179385,Mood Indigo,MOVIE,,131,2013,0.0,6.5,15877.0
13835,tm150016,The World of Kanako,MOVIE,,118,2014,0.0,6.5,5114.0
13883,tm186841,Instructions Not Included,MOVIE,PG-13,122,2013,0.0,7.5,30679.0
13903,tm188043,Borgman,MOVIE,,113,2013,0.0,6.7,17639.0
13923,tm65235,It's a Disaster,MOVIE,R,86,2013,0.0,6.4,11098.0
13938,tm140972,R100,MOVIE,,100,2013,0.0,6.0,2543.0
13992,tm156383,The Keeping Room,MOVIE,R,95,2014,0.0,6.0,7016.0
13998,ts7770,The Driver,SHOW,TV-14,54,2014,1.0,6.9,1880.0
14061,tm155620,Dolphin Tale 2,MOVIE,PG,107,2014,0.0,6.3,9112.0
14094,tm317479,Sword Art Online: Extra Edition,MOVIE,,101,2014,0.0,6.3,1787.0
14131,tm176834,Grudge Match,MOVIE,PG-13,113,2013,0.0,6.4,60037.0
14148,tm144292,Sex Ed,MOVIE,,90,2014,0.0,5.6,5337.0
14248,tm155607,The Connection,MOVIE,R,135,2014,0.0,7.1,10678.0
14273,tm133396,10.0 Earthquake,MOVIE,,88,2014,0.0,3.4,2234.0
14277,ts44098,Yu-Gi-Oh! Arc-V,SHOW,TV-Y7,22,2014,3.0,7.0,6.0
14288,tm170696,Almost Human,MOVIE,,80,2013,0.0,4.7,3255.0
14317,tm138145,The Woman in Black 2: Angel of Death,MOVIE,PG-13,98,2014,0.0,4.8,28090.0
14361,ts89424,ソードアート・オンラインⅡ,SHOW,TV-14,22,2014,1.0,7.5,42713.0
14385,tm151254,Just Eat It: A Food Waste Story,MOVIE,,75,2014,0.0,7.3,816.0
14396,tm157823,The Maid's Room,MOVIE,,98,2014,0.0,4.5,1330.0
14418,ts20733,The Impostor,SHOW,,50,2014,1.0,7.7,72.0
14436,tm186006,Treading Water,MOVIE,,92,2013,0.0,6.0,686.0
14521,tm132685,The 10 Year Plan,MOVIE,PG-13,90,2014,0.0,6.1,4213.0
14537,tm152954,Zapped,MOVIE,,92,2014,0.0,5.1,5164.0
14549,tm167852,Hammer of the Gods,MOVIE,R,99,2013,0.0,4.5,8077.0
14571,tm172179,I Declare War,MOVIE,,91,2013,0.0,6.0,2761.0
14598,tm149879,Get Married If You Can,MOVIE,,107,2014,0.0,5.7,1837.0
14608,tm152613,The Hornet's Nest,MOVIE,R,93,2014,0.0,6.7,2557.0
14642,tm186492,Dealin' with Idiots,MOVIE,,87,2013,0.0,5.4,1387.0
14661,tm177748,The Face of Love,MOVIE,PG-13,92,2013,0.0,6.2,5510.0
14666,tm177516,Getting Go: The Go Doc Project,MOVIE,,91,2013,0.0,6.9,2828.0
14676,tm174307,Reaching for the Moon,MOVIE,,118,2013,0.0,6.9,3250.0
14707,tm152263,K: Missing Kings,MOVIE,PG,75,2014,0.0,6.9,864.0
14730,tm156728,Liz in September,MOVIE,,100,2014,0.0,5.9,1357.0
